"","NSWMRemanded ","NSWMSentenced","NSWFRemanded ","NSWFSentenced","VICMRemanded ","VICMSentenced","VICFRemanded ","VICFSentenced","QLDMRemanded ","QLDMSentenced","QLDFRemanded ","QLDFSentenced","SA MRemanded ","SA MSentenced","SA FRemanded ","SA FSentenced","WA MRemanded ","WA MSentenced","WA FRemanded ","WA FSentenced","TASMRemanded ","TASMSentenced","TASFRemanded ","TASFSentenced","NT MRemanded ","NT MSentenced","NT FRemanded ","NT FSentenced","ACTMRemanded ","ACTMSentenced","ACTFRemanded ","ACTFSentenced"
"1",1972,6396,182,468,587,2689,62,196,1000,3940,81,273,486,974,38,54,495,2644,61,210,106,388,10,21,147,613,13,12,65,106,2,5
"2",1975,6472,191,461,587,2750,59,196,1019,3968,81,277,451,967,39,54,518,2765,52,216,113,399,8,20,140,654,10,18,66,107,4,6
"3",1844,6540,186,437,593,2828,59,198,989,4015,76,288,476,954,48,52,504,2662,49,201,115,383,10,21,123,649,8,16,63,118,1,5
"4",1860,6502,172,457,602,2805,54,188,985,3965,81,290,504,950,44,58,488,2669,43,193,102,382,12,23,125,609,10,16,63,129,4,8
"5",1967,6493,191,452,605,2733,50,168,1038,4020,80,285,481,954,41,60,530,2657,53,194,89,354,11,22,141,636,12,17,60,117,4,9
"6",2005,6594,194,463,597,2849,47,178,1084,4063,82,298,525,950,37,64,544,2686,53,195,112,353,9,29,140,643,13,20,65,110,6,9
"7",2031,6571,202,484,687,3006,48,199,1111,4067,89,314,514,989,36,65,543,2733,57,201,124,379,14,25,158,582,11,23,52,100,9,4
"8",2074,6661,218,476,722,3087,45,197,1127,4098,95,320,512,1044,41,64,565,2745,68,213,105,402,16,30,175,606,7,21,58,109,6,6
"9",2154,6664,217,463,695,3080,51,192,1134,4063,108,310,551,1039,48,62,598,2684,72,217,101,369,10,26,158,635,11,28,59,104,4,5
"10",2173,6761,209,488,726,3138,54,198,1185,4059,108,332,583,1080,52,66,604,2793,76,243,111,386,11,21,175,685,12,28,59,93,4,4
"11",2167,6746,211,470,758,3162,54,197,1167,3943,105,298,579,1107,52,68,640,2878,61,261,106,393,8,25,149,670,9,29,62,93,5,6
"12",2272,6622,199,467,750,3237,50,203,1100,3935,96,310,557,1154,54,68,622,2951,54,264,102,425,10,30,159,643,8,30,68,95,5,7
"13",2354,6606,199,443,744,3131,51,185,1159,3853,101,305,587,1167,61,67,658,2793,64,233,103,380,10,25,199,660,11,30,73,94,10,9
"14",2363,6703,208,485,793,3145,62,176,1152,3988,103,303,587,1198,59,67,701,2763,56,202,104,393,13,25,187,679,10,30,79,84,7,8
"15",2322,6903,201,514,765,3269,61,189,1131,3998,109,324,602,1231,64,63,716,2830,74,207,103,375,9,32,199,699,16,31,83,65,9,3
"16",2324,6875,208,524,805,3307,64,183,1061,4086,90,353,583,1226,57,61,654,2987,84,222,98,396,7,27,213,713,15,32,98,61,9,5
"17",2491,6855,234,511,743,3216,70,184,1078,4044,85,336,595,1200,59,71,614,3062,74,229,97,380,11,22,265,787,15,31,102,45,10,3
"18",2477,7142,236,531,800,3242,77,192,1081,4215,89,345,621,1223,57,74,678,3175,67,256,112,379,11,23,255,778,16,35,64,88,7,11
"19",2484,7147,222,546,767,3333,77,213,1051,4147,86,327,640,1224,51,76,639,3530,71,290,103,371,10,32,231,763,9,35,56,92,3,11
"20",2389,7190,207,562,815,3375,76,238,1054,4058,84,336,610,1229,50,74,668,3723,59,321,90,372,9,36,226,795,12,34,66,97,7,6
"21",2519,7006,217,540,768,3394,69,246,1108,4064,96,327,607,1191,52,74,670,3768,65,323,84,334,8,26,244,804,15,35,80,101,7,6
"22",2561,7091,217,558,791,3452,70,248,1117,4170,103,343,662,1193,54,70,753,3682,75,328,88,351,11,27,226,837,12,38,81,116,11,8
"23",2398,7090,193,555,741,3507,70,248,1068,4099,92,342,626,1229,51,79,696,3633,69,335,101,356,8,26,232,815,13,37,71,129,9,5
"24",2330,7032,193,545,758,3536,69,243,1081,4065,83,325,612,1234,50,77,689,3504,63,316,87,369,6,29,245,848,9,37,73,133,7,5
"25",2564,6749,192,501,776,3432,71,235,1093,3934,78,323,626,1248,47,78,763,3464,63,307,78,347,6,22,268,855,15,37,85,133,8,7
"26",2665,6763,201,488,822,3498,73,248,1114,4033,76,347,610,1275,37,84,797,3506,64,297,82,354,7,33,294,895,20,40,87,137,5,9
